run_id,start_idx,end_idx,n_samples,duration_sec,success,pos_err,goal_x,goal_y,final_x,final_y,noise_strength_max,blur_strength_max,brightness_strength_max,group
469,469304,470303,1000,9.99000000203523,False,0.14050776421690558,0.2,-0.15,0.24713442836134702,-0.009492235783094405,0.0,0.0,0.8533803206985857,brightness_only
470,470304,471303,1000,9.99000000203523,False,0.11619383269790967,0.2,-0.15,0.18696135468097555,-0.03380616730209033,0.0,0.8666401273536068,0.0,blur_only
471,471304,472303,1000,9.99000000203523,False,0.13882956448770503,0.2,-0.15,0.2131142059816503,-0.011170435512294973,0.4114510965432143,0.0,0.0,noise_only
472,472304,473303,1000,9.99000000203523,False,0.058296628004853135,0.2,-0.15,0.20749386247125853,-0.09170337199514686,0.5790635187699085,0.0,0.0,noise_only
473,473304,474303,1000,9.99000000203523,False,0.262866459563663,0.2,-0.15,0.2311908160330817,0.11286645956366301,0.0,0.8275750487734893,0.0,blur_only
474,474304,475303,1000,9.99000000203523,False,0.1430751527662238,0.2,-0.15,0.18435011944119753,-0.006924847233776205,0.0,0.0,0.9394189760363874,brightness_only
475,475304,476303,1000,9.99000000203523,False,0.19648683021345453,0.2,-0.15,0.25717842668184865,0.04648683021345453,0.6725646778306313,0.0,0.0,noise_only
476,476304,477303,1000,9.99000000203523,False,0.29859264424463267,0.2,-0.15,0.18556515347386174,0.14859264424463267,0.0,0.497903811663454,0.0,blur_only
477,477304,478303,1000,9.99000000203523,True,0.009159715432344895,0.2,-0.15,0.19710089225234062,-0.1591597154323449,0.0,0.9514993680121042,0.0,blur_only
478,478304,479303,1000,9.99000000203523,False,0.16899545707596733,0.2,-0.15,0.2773502124624457,0.018995457075967347,0.21732567386478885,0.0,0.0,noise_only
479,479304,480303,1000,9.99000000203523,False,0.04907008501973645,0.2,-0.15,0.2361048502894967,-0.10092991498026355,0.7840805754842031,0.0,0.0,noise_only
480,480304,481303,1000,9.99000000203523,False,0.27582671928274904,0.2,-0.15,0.25809915841606174,0.12582671928274905,0.0,0.7332674927345616,0.0,blur_only
481,481304,482303,1000,9.99000000203523,True,0.006739388052825812,0.2,-0.15,0.1932606119471742,-0.1542882100528187,0.0,0.37648748012330824,0.0,blur_only
482,482304,483303,1000,9.99000000203523,True,0.012770244968159788,0.2,-0.15,0.2030969554804805,-0.16277024496815978,0.0,0.0,0.6025461291001003,brightness_only
483,483304,484303,1000,9.99000000203523,False,0.25724660176615854,0.2,-0.15,0.18321609527135627,0.10724660176615856,0.5529658880110978,0.0,0.0,noise_only
484,484304,485303,1000,9.99000000203523,False,0.02269448995290027,0.2,-0.15,0.22269448995290028,-0.1473986992769104,0.0,0.0,0.4780282622058789,brightness_only
485,485304,486303,1000,9.99000000203523,False,0.11043993175461213,0.2,-0.15,0.18056188346383226,-0.03956006824538787,0.20237200720932536,0.0,0.0,noise_only
486,486304,487303,1000,9.99000000203523,True,0.018771315848956027,0.2,-0.15,0.21040944846155263,-0.16877131584895602,0.0,0.0,0.2941266623294313,brightness_only
487,487304,488303,1000,9.99000000203523,False,0.11708353226969315,0.2,-0.15,0.26734525636755313,-0.032916467730306855,0.0,0.5724902065599763,0.0,blur_only
488,488304,489303,1000,9.99000000203523,True,0.014568431548835664,0.2,-0.15,0.21456843154883568,-0.1489086798566123,0.06961431507369753,0.0,0.0,noise_only
489,489304,490303,1000,9.99000000203523,False,0.049162613137549466,0.2,-0.15,0.23584817057427715,-0.19916261313754946,0.15210560447356003,0.0,0.0,noise_only
490,490304,491303,1000,9.99000000203523,False,0.1910242789120285,0.2,-0.15,0.18226737278860852,0.041024278912028506,0.0,0.0,0.653977243734189,brightness_only
491,491304,492303,1000,9.99000000203523,False,0.09556407667841865,0.2,-0.15,0.29556407667841866,-0.07947228803297705,0.6035346619033274,0.0,0.0,noise_only
