experiment,episode_key,time_s,failure_probability,mttf_h,joint_travel_rad,move_time_s
act_standard,demo_000090,32.368814413,6.907228802062472e-07,13017.281433983962,4.510493795000001,14.175647343000001
act_standard,demo_000091,31.929380306,6.844633598223196e-07,12957.989667583513,4.3887367398,13.080091723
act_standard,demo_000092,35.006723922,7.317634873059591e-07,13288.563723049527,4.947804477000001,14.348634373000001
act_standard,demo_000093,34.992176457,7.329544670535373e-07,13261.458457149398,5.013244085900001,15.070764072000001
act_standard,demo_000094,35.004015515999996,7.364662258142978e-07,13202.68812249005,5.360881858400001,13.874471055
act_standard,demo_000095,35.059636710999996,7.343621949757719e-07,13261.552290140997,5.608032611499999,16.863085691000002
act_standard,demo_000096,33.223710972,7.183860392314597e-07,12846.582029641035,4.1830573292,12.021751783000001
act_standard,demo_000097,31.458862021,6.801173079577995e-07,12848.620696405944,4.268730157599999,11.623112563
act_standard,demo_000098,33.036551333,7.168071284639036e-07,12802.350913935217,4.5487034039,11.544750745
act_standard,demo_000099,33.055577932,7.176852987071637e-07,12794.050001802301,4.5023810851,11.549788537
pi05_standard,demo_000000,27.025792977000002,5.541784649488023e-07,13546.472265810095,4.4886155502000005,7.053605063
pi05_standard,demo_000001,22.465530493000003,4.6851668308707996e-07,13319.533191364215,5.1011503155,7.053965764
pi05_standard,demo_000002,22.776917031,5.010020855727798e-07,12628.529503621592,4.437477220899999,6.064949661
pi05_standard,demo_000003,24.887107348,5.338833931513246e-07,12948.676702605182,4.8970219817,8.206044163
pi05_standard,demo_000004,27.254930516,5.855587646879159e-07,12929.209381266246,4.8995566327,8.375949853
pi05_standard,demo_000005,24.408569089000004,5.19070990132181e-07,13062.09808358844,5.4896853061,9.583310431000001
pi05_standard,demo_000006,23.897685285,5.110820094034582e-07,12988.60874055454,4.3699320809,5.6856537220000005
pi05_standard,demo_000007,22.559297677,4.783791332798952e-07,13099.38007002438,4.981631611500001,6.415243949000001
pi05_standard,demo_000008,25.466406943,5.296696937936056e-07,13355.493295318578,4.5510496661,8.741193847
pi05_standard,demo_000009,23.13331746,4.92434046268831e-07,13049.30067207747,4.8972944314,6.601500627
pi05_standard,demo_000010,25.832102168,5.59862485571977e-07,12816.68591152268,5.0297315486,7.0006584179999995
pi05_standard,demo_000011,27.904215886000003,5.792046333189683e-07,13382.435553605259,5.561543726000001,14.058299884
pi05_standard,demo_000012,23.358676758,5.004884659771039e-07,12964.374176400515,4.1484885721,6.044263412
pi05_standard,demo_000013,22.822172583,4.933744324631818e-07,12849.24872673434,4.8549459215,7.215263141
pi05_standard,demo_000014,25.039757349,5.262342925297795e-07,13217.470666559768,4.4513197229,7.963869496
pi05_standard,demo_000015,24.662258248999997,5.226895861891561e-07,13106.489285696694,4.919578264299999,7.673331338
pi05_standard,demo_000016,26.174857291000002,5.420428236184828e-07,13413.6850792918,4.944106466200001,8.208833844
pi05_standard,demo_000017,24.286753641,4.952544813811424e-07,13621.92350901437,5.3108783724,8.066803347
pi05_standard,demo_000018,24.155518558,5.19854217233823e-07,12907.205126320076,4.2220226818,5.255278785
pi05_standard,demo_000019,22.721892135,4.819487932600151e-07,13096.0702445508,4.7130478326,5.822264297
pi05_standard,demo_000020,25.280781515,5.458148114398099e-07,12865.970549003505,4.614364763899999,8.34418464
pi05_standard,demo_000021,24.875825062,5.355795737114958e-07,12901.816648047892,5.017222413,8.675449137
pi05_standard,demo_000022,28.976165066000004,6.198948046543567e-07,12984.351827796834,5.047430629499999,9.834398719
pi05_standard,demo_000023,24.317780975,5.109659425402406e-07,13219.936511651662,5.4465480188,8.055685281
pi05_standard,demo_000024,26.916027835,5.505406124661177e-07,13580.601936170187,4.401853883200001,5.517376391
pi05_standard,demo_000025,21.521727191999997,4.632242345803029e-07,12905.750048006097,4.7855040858999995,5.677184097
pi05_standard,demo_000026,24.74817922,5.322040656901801e-07,12917.02352868695,4.5138438736,6.841210842000001
pi05_standard,demo_000027,25.749873958,5.434412453525974e-07,13161.93955969767,4.945108352,5.827198018
pi05_standard,demo_000028,24.629357314,5.35342287521633e-07,12779.64802252106,4.8971720987000005,7.803648651
pi05_standard,demo_000029,26.656706731,5.696221462253988e-07,12999.212665419696,5.4451122029,12.160651309
pi05_standard,demo_000030,26.257612091000002,5.541813857003519e-07,13161.357099879477,4.447241358,8.351549432
pi05_standard,demo_000031,22.732013209,4.907509071932702e-07,12866.907502763845,4.558829784199999,7.444888579
pi05_standard,demo_000032,26.580643135,5.558385526083697e-07,13283.551407212854,4.6839064625,7.1392214449999996
pi05_standard,demo_000033,23.891717682,5.060068985607955e-07,13115.604831531498,4.944455059300001,7.223780925
pi05_standard,demo_000034,29.812623465999998,6.401819223025687e-07,12935.825342032951,5.192599006,12.659467657
