trial,x_plan,y_plan,z_plan,x_real,y_real,z_real
74,0.44875125255660797,-0.06764752534421903,0.015,0.461177190681149,-0.06575834343655108,0.01489229445712611
75,0.4053137509456812,-0.48482122165024644,0.015,0.46059379792423716,-0.43945986735035575,0.014892294457245082
76,0.4547243622885908,0.31550837743952453,0.015,0.45717640147353283,0.32181084917853275,0.014892291706540219
77,0.3363325177569249,-0.01957901919412386,0.015,0.345557119959475,-0.017570612900061868,0.014892270356551359
78,0.5343346251291384,-0.19808280950450174,0.015,0.5304418377158008,-0.18698410770344542,0.014892244827281846
79,0.3328738170937546,-0.22724692609661257,0.015,0.33820712384833806,-0.22547747641310883,0.014892290948896455
80,0.33145435070823287,-0.2032396143540951,0.015,0.33811211184444273,-0.18979399696189303,0.014892246457821777
81,0.4333725452735797,-0.11988549566209683,0.015,0.430227969643085,-0.11827760376282119,0.01489229446329094
82,0.3899750330077422,-0.4105295473602243,0.015,0.38681137717015723,-0.405915031084281,0.01489229446356982
83,0.4798314346917677,0.005359301708325215,0.015,0.47664601872119994,0.013022824266886324,0.01489229445834545
84,0.39190878317090116,-0.4206990011351728,0.015,0.3960182386713686,-0.41442636457649873,0.014892294458864868
85,0.4177428362332172,-0.23970492730997628,0.015,0.41786308987059967,-0.22921837353018074,0.0148922944583038
86,0.3477603787560479,0.3572525613265042,0.015,0.35111488739595303,0.35973856210610916,0.01489229445636644
87,0.5489757902987387,-0.2933303330508116,0.015,0.5475542904474712,-0.280778741705341,0.014695195163410637
88,0.3811046662133099,0.08505054302647364,0.015,0.3839063082736063,0.0866158400075094,0.01489229410728797
89,0.4010833298332804,-0.19876398000359186,0.015,0.40663734979547816,-0.1878080948935964,0.014892294457272085
90,0.312608614132107,0.3586500744811195,0.015,0.33256814680574276,0.3592408256315531,0.005772128169733685
91,0.37614359421580884,0.3681337324534776,0.015,0.37930799467181037,0.3653260054831341,0.014892294447722419
92,0.5467709909127814,0.3967516490272238,0.015,0.5452859050324754,0.3978818363016381,0.014892294454392926
93,0.34566746962134715,0.24611835872564847,0.015,0.37675181752916054,0.24333831133549066,0.01731882349418467
